GO:0031100,animal organ regeneration,133 285 306 335 336 471 558 570 578 728 790 890 983 1019 1026 2155 2322 2356 2621 2950 3082 3482 3651 3936 4519 4837 4851 5207 5228 5315 5468 5469 5471 5634 6387 7048 7049 7471 8013 8431 10076 23175 26019 54658
GO:0031109,microtubule polymerization or depolymerization,1410
GO:0050832,defense response to fungus,1113 1511 1667 1668 1669 1670 1671 2597 3273 3346 3347 4353 6279 6280 6283 6283 10417 10578 23406 23765 57817 84522 84659 84818 93978 117159 338322 387695 728358
GO:0050830,defense response to Gram-positive bacterium,54 728 820 820 944 948 1113 1401 1667 1667 1668 1668 1669 1669 1670 1670 1671 1672 1672 1673 1755 1969 2220 2268 3133 3148 3569 3592 3853 3853 3906 3929 4049 4069 4069 4153 4615 5027 5319 5319 5320 5919 6036 6037 6039 6170 6868 6992 7097 7124 8339 8343 8344 8346 8347 8349 8764 8767 8970 8993 8993 9466 10392 22914 29102 29110 54145 55576 55894 57115 57115 57151 64170 79792 81929 84569 84659 84868 85236 114548 114609 114770 114770 114771 114771 119180 122665 124912 130120 131375 140596 140596 140823 245909 245910 245928 245939 254773 284297 353142 353143 353144 387695 389852 414325 503614 503618 503618 503841 728358 728358 729201 100528032
GO:0034770,histone H4-K20 methylation,7468 64324 387893
GO:0034776,response to histamine,1813 1814 1815
GO:0034775,glutathione transmembrane transport,4363 23657
GO:0019236,response to pheromone,57191 160897 284339 317701 317702 317703 317705 441931
GO:0008038,neuron recognition,4978 26047 50863 51294
GO:0097178,ruffle assembly,199 199 199 382 3636 5879 8394 9530 23616 26084 28988 29887 51763 83543 92154
GO:1900168,positive regulation of glial cell-derived neurotrophic factor secretion,947 1813
GO:0097176,epoxide metabolic process,2052 2053 79852
GO:1900165,negative regulation of interleukin-6 secretion,2621 4345 23208 26191 27202 55024 80149 114899 131450 406947
GO:1900164,nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry,4838 8928 10370
GO:1900163,positive regulation of phospholipid scramblase activity,5580
GO:2000308,negative regulation of tumor necrosis factor (ligand) superfamily member 11 production,4057
GO:0051782,negative regulation of cell division,641 641 4609 5727 5988 10628 23594 27152 56241 387695
GO:0051781,positive regulation of cell division,685 847 2069 2246 2247 2248 2249 2250 2251 2252 2253 2254 2263 2277 3357 3481 3552 3553 4192 4824 4904 5008 5154 5155 5228 5473 5764 6469 6886 7039 7040 7042 7043 7060 7422 7423 7424 7564 9270 22933 56034 56287 64762 79848 80310 84432 346389
GO:0051780,behavioral response to nutrient,6566
GO:0033029,regulation of neutrophil apoptotic process,23657
GO:0051788,response to misfolded protein,1191 2161 10013
GO:0060260,regulation of transcription initiation from RNA polymerase II promoter,6872 6879
GO:0060261,positive regulation of transcription initiation from RNA polymerase II promoter,1482 2959 6722 6872 6927 6928 10923 22976 22976 170506
GO:0006598,polyamine catabolic process,54498
GO:0090343,positive regulation of cell aging,4000
GO:0090344,negative regulation of cell aging,2305 4282 5728 7471 51343 54708
GO:0020027,hemoglobin metabolic process,118 847 2038 3263 51327
GO:0060266,negative regulation of respiratory burst involved in inflammatory response,2896 3630 6223 11221 56833
GO:0060267,positive regulation of respiratory burst,3493 3494 3512 3630 3643 57118
GO:0060268,negative regulation of respiratory burst,613
GO:0006593,ornithine catabolic process,5009
GO:0006590,thyroid hormone generation,1733 1734 1735 2304 5469 6528 7173 7173 10404 10404 50506 50506 53905 53905 389434
GO:0006591,ornithine metabolic process,3172
GO:0006596,polyamine biosynthetic process,4946 4947 6303 6723 51686 54498 196743
GO:0006597,spermine biosynthetic process,262 6611 6611
GO:0006595,polyamine metabolic process,262 4947 4953 6611 6723
GO:0010906,regulation of glucose metabolic process,32 2784 3486 3487 3488 4779 5071 5163 5164 5165 5166 6095 6097 7033 9370 10269 10499 23411 23417 51094 51451 54729 114897 388581
GO:0010907,positive regulation of glucose metabolic process,207 208 2822 3667 5366 6714 8604 8660 9104 85414
GO:0010905,negative regulation of UDP-glucose catabolic process,2931
GO:0010902,positive regulation of very-low-density lipoprotein particle remodeling,344 116519
GO:0010903,negative regulation of very-low-density lipoprotein particle remodeling,335 336 345 345
GO:0010900,negative regulation of phosphatidylcholine catabolic process,341
GO:0050783,cocaine metabolic process,590
GO:0046651,lymphocyte proliferation,2322 3070 3251 3614 3615 5813
GO:0046653,tetrahydrofolate metabolic process,1719 6470 6470 6472 6472 10588 10797 10797 51268 200895 441024 573971
GO:0046655,folic acid metabolic process,1719 1719 1719 2348 2350 2356 4522 4524 4552 4552 6470 6470 6470 6472 6472 6573 10588 10797 10840 25902 81034 113235 160428 200895 441024 573971 573971 573971
GO:0046654,tetrahydrofolate biosynthetic process,471 1719 1719 1719 2618 2643 200895 200895 573971 573971 573971
GO:0046657,folic acid catabolic process,10588 135293
GO:0010909,positive regulation of heparan sulfate proteoglycan biosynthetic process,1499 6934 92370
GO:0051877,pigment granule aggregation in cell center,8195 55212
GO:0051873,killing by host of symbiont cells,820 2597 4153 5196
GO:1903307,positive regulation of regulated secretory pathway,5864 5873 5873 9545 201294 376267 376267
GO:1903305,regulation of regulated secretory pathway,6857 64780
GO:1903302,regulation of pyruvate kinase activity,339123
GO:0051878,lateral element assembly,6847
GO:1903301,positive regulation of hexokinase activity,57103
GO:0007626,locomotory behavior,18 111 114 135 220 320 321 351 435 460 538 551 774 793 1136 1137 1141 1143 1621 1813 1814 1826 2119 2548 2764 2775 2788 2911 2915 3074 3084 3251 3358 4009 4211 4857 4886 4887 4986 4988 5153 5194 5309 5728 6414 6531 6571 6616 6647 6801 6886 7054 7080 8704 9293 9620 9896 10882 23230 23259 23551 25946 27306 29801 51168 51704 54112 55079 55084 55236 55283 56172 57144 57152 57679 64072 83464 83715 84152 89797 93145 257194 347148 347730 390259
GO:0007625,grooming behavior,353 551 552 1497 1812 1813 3218 3251 5020 5538 8528 26050 56923 347148
GO:0007624,ultradian rhythm,10495 55068
GO:0007623,circadian rhythm,15 15 15 107 181 406 445 687 1019 1364 1374 1385 1406 1408 1628 1644 1859 1956 1960 2033 2155 2932 3191 3363 3397 3398 3399 3400 3615 3725 3952 4543 4704 4783 4841 4843 4862 4914 4915 4916 5054 5078 5187 5629 6121 6532 6720 7071 7150 7166 7298 8204 8841 8864 8914 9370 9572 9575 9611 9956 9967 10135 10236 10887 10891 22809 23064 25819 50865 56339 56938 60675 83759 84432 121278 128674 220202 402055
GO:0006629,lipid metabolic process,20 39 51 221 222 247 319 339 341 346 347 347 498 506 948 1056 1119 1149 1191 1200 1208 1398 1399 1576 2171 2172 2182 2539 2880 3028 3155 3155 3157 3172 3339 3557 3949 3952 4018 4035 4036 4258 4259 4547 4952 5049 5050 5051 5091 5139 5244 5306 5326 5334 5346 5360 5406 5407 5465 5467 5468 5799 5949 6309 6566 6720 6721 7026 7069 7274 7352 7364 7365 7376 7442 7480 7753 7804 8608 8611 8613 8895 8904 9023 9362 9388 9600 9663 9971 10062 10390 10400 10948 11120 11343 23228 23760 23780 26020 27034 27132 27163 51052 51365 51573 51601 53345 54511 54729 54857 55344 55711 56994 58526 79829 79852 80831 80832 81544 114294 115209 131601 133121 133121 158219 162515 220032 221895 255919 339559
GO:0007621,negative regulation of female receptivity,551 552 7068 84152
GO:0007620,copulation,18 5266
GO:0006624,vacuolar protein processing,5641 29100
GO:0006625,protein targeting to peroxisome,30 51 189 570 847 1384 1610 1891 1962 2053 3155 3295 3416 3417 4358 4843 5189 5189 5190 5190 5190 5191 5192 5193 5193 5194 5195 5264 5824 5824 5828 5830 6233 6342 7311 7314 7316 7321 7322 7323 8239 8309 8310 8443 8528 8540 9409 10005 10455 10901 10965 11001 23417 23600 26061 26063 51179 51268 54363 54469 54469 54677 55670 55825 83752 83752 83752 122970 196743 219743 283927 373156 390916
GO:0006626,protein targeting to mitochondrion,293 637 706 9049 9804 9868 9927 10245 10440 10452 10452 10469 10531 10953 25793 26515 26517 26519 26520 26521 29928 51024 54332 54332 54543 56947 56993 84709 130916 131118 401505 100287932
GO:0006627,protein processing involved in protein targeting to mitochondrion,4285 7385 9512 23203 23203 83943 83943 196294
GO:0006620,posttranslational protein targeting to endoplasmic reticulum membrane,439 6449 7095 11231 11231 29082 29927 29927 54557 55176 128866
GO:0006621,protein retention in ER lumen,2901 8733 10945 10956 11014 11015 11079 64714 81573 81573
GO:0006622,protein targeting to lysosome,950 950 4074 4734 4734 6653 7879 8031 8546 9146 9179 9648 9648 9765 9765 26985 27183 51172 51520 64089 374666
GO:0007628,adult walking behavior,409 1497 1600 1812 1813 1949 2043 2395 2636 2741 2743 3766 4864 6323 6900 7200 7345 7545 10269 26090 27429 28996 51286 55074 55636 57626 57731 58524
GO:0002291,T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell,3383 3683 54518
GO:0002292,T cell differentiation involved in immune response,2207 26253 338339
GO:0002295,T-helper cell lineage commitment,161882
GO:0002296,T-helper 1 cell lineage commitment,2475 6693 6778
GO:0099642,retrograde axonal protein transport,1740 4130
GO:0099641,anterograde axonal protein transport,1740 3315 3798 3799 3800 4130 5874 23162
GO:1902216,positive regulation of interleukin-4-mediated signaling pathway,54625 146722
GO:1902215,negative regulation of interleukin-4-mediated signaling pathway,5771
GO:0099645,neurotransmitter receptor localization to postsynaptic specialization membrane,1739 1740 9211
GO:1902219,negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress,2056 5743 8531 9181
GO:2001173,regulation of histone H2B conserved C-terminal lysine ubiquitination,55100
GO:2001171,positive regulation of ATP biosynthetic process,2023 2023 4513 6774 6901 7114 7415 8604 10891 54209 55022 65018 107075310
GO:2001170,negative regulation of ATP biosynthetic process,142 55022 201163
GO:0048389,intermediate mesoderm development,130497
GO:0048388,endosomal lumen acidification,356 1182 282679
GO:0048382,mesendoderm development,657 677 4838
GO:0048385,regulation of retinoic acid receptor signaling pathway,1382 8644 9249 22938
GO:0048384,retinoic acid receptor signaling pathway,81 1390 1399 2104 5371 5914 5914 5915 5916 5916 6256 6258 6899 7376 22938 56603 256297
GO:0048387,negative regulation of retinoic acid receptor signaling pathway,811 1592 2146 9249 9745 23019 23532 56603 340665
GO:0048386,positive regulation of retinoic acid receptor signaling pathway,1488 7181 10626 171023
GO:0000288,nuclear-transcribed mRNA catabolic process; deadenylation-dependent decay,677 678 5433 7538 28960 149041 201626
GO:0045079,negative regulation of chemokine biosynthetic process,1991 3569 59307
GO:0045075,regulation of interleukin-12 biosynthetic process,23139
GO:0045076,regulation of interleukin-2 biosynthetic process,64170 112744
GO:0045077,negative regulation of interferon-gamma biosynthetic process,3623 3624 10859 50943
GO:0045070,positive regulation of viral genome replication,103 103 104 940 1642 1654 2494 3434 4851 5478 5481 5586 5886 6352 6732 6733 6780 6895 8468 9217 10450 10465 10465 10475 23367 26986 29883 51495 201626
GO:0000281,mitotic cytokinesis,288 324 388 389 403 585 675 1058 1072 1894 3619 3925 4628 5347 5921 6242 6651 6683 6711 9094 9094 9101 9493 9700 9820 10015 10112 10617 10899 10899 11021 11113 23157 23503 24137 26586 29127 29127 51203 51203 51429 54443 54443 54902 55165 55165 55521 79884 81620 84445 112574 114327 128866 129531 257364 285643
GO:2001051,positive regulation of tendon cell differentiation,151449
GO:0055001,muscle cell development,4776 23028 57159 84466 137868
GO:0055002,striated muscle cell development,6382
GO:0055003,cardiac myofibril assembly,70 4604 4606 4607 4628 4633 5156 5159 6722 7273 7273 8048 8557 8736 9172 23363 23363 80206 91807 91807 127294 283284
GO:0055005,ventricular cardiac myofibril assembly,1482 4205 5629
GO:0055007,cardiac muscle cell differentiation,650 652 811 1482 2627 3084 3688 6548 6910 7248 8289 11214 23135 25776 27101 50507 55553 55897 90410 93649 93649 150094
GO:0055008,cardiac muscle tissue morphogenesis,70 650 1482 4604 4606 4607 4851 7273 7273 8557 8736 9172 23363 27063 54583 57057 85366 85366 127294 129446 161882 283284
GO:0055009,atrial cardiac muscle tissue morphogenesis,2022 4624 5629 7472 9241 27302
GO:0006974,cellular response to DNA damage stimulus,25 142 143 207 322 324 331 472 472 472 545 545 580 595 596 602 604 641 641 672 836 842 867 1018 1026 1111 1161 1263 1263 1263 1386 1386 1493 1642 1649 1663 2188 2308 2332 2794 3014 3014 3014 3090 3364 3661 3665 4067 4067 4176 4221 4332 4361 4609 4750 4773 4862 4968 5058 5252 5366 5423 5591 5594 5663 5810 5883 5884 5888 5888 5893 5929 5930 6117 6188 6446 6787 6794 6839 6872 6872 6880 7153 7157 7157 7158 7161 7189 7317 7317 7318 7320 7325 7415 7486 7517 7520 7528 7832 8445 8450 8451 8505 8517 8517 8812 8914 8914 8924 8924 9025 9031 9070 9100 9261 9320 9320 9344 9557 9577 9766 9768 9874 9891 9923 9923 9925 10010 10111 10210 10413 10451 10472 10519 10538 10600 10721 10951 11011 11073 11169 11200 11200 11200 11335 22834 22880 22890 22944 22944 23054 23064 23137 23198 23300 23409 23411 23468 23476 23514 23645 25836 25939 25946 26574 27086 28985 28992 29089 29089 29997 50485 50485 51149 51270 51322 51333 51341 51347 51366 51366 51366 51426 51514 51514 54107 54465 54465 54840 54969 54969 55031 55120 55159 55183 55367 55388 55602 55611 55719 56339 56647 56776 56776 56852 57103 57551 57646 57659 57805 58493 64210 64393 64859 65123 79035 79624 79677 79791 79842 79968 80149 80169 80854 83932 83932 83943 84083 84083 84250 84266 84287 84303 84303 84446 84515 84893 84930 91607 91801 92797 92999 112399 115004 132671 138162 140733 151636 152206 165918 199990 199990 200558 200933 221443 221662 221927 225689 245711 252983 253461 254225 254225 254394 257218 259282 286257 340485 378708 378708 389493 407040 100128927 100507436
GO:0006975,DNA damage induced protein phosphorylation,25 472 472 1111 1407 5595 5608 6300 11200
GO:0006977,DNA damage response; signal transduction by p53 class mediator resulting in cell cycle arrest,472 581 835 891 983 995 1017 1026 1026 1027 1263 1647 1820 1869 1874 2033 2765 2810 3276 4193 4193 4194 4582 4848 4849 4850 5111 5325 5371 5934 6154 6659 6790 7027 7029 7157 7157 7832 8738 8738 9125 9337 10498 10769 11200 23019 25904 25946 28984 29883 51499 51512 55367 55571 57060 57472 79733 85456 144455 246175
GO:0006970,response to osmotic stress,339 366 1263 1386 1831 1956 2185 2326 3778 5603 5609 6652 9053 9221 9819 10725 56262 81628 91862
GO:0006971,hypotonic response,3673 57468
GO:0006972,hyperosmotic response,358 3176 5170 5585 6558 6750 7098 8029 23308
GO:0043923,positive regulation by host of viral transcription,904 1105 2033 2959 3249 3725 6597 6598 6667 6882 7023 9150 22938 22938 23076 51176 51193 64710
GO:0006978,DNA damage response; signal transduction by p53 class mediator resulting in transcription of p21 class mediator,672 675 2305 4582 6672 7023 7157 7157 10524 11200 27330 28996 51065 51147
GO:0006979,response to oxidative stress,25 207 210 351 475 498 761 1137 1161 1161 1718 1861 2067 2068 2068 2071 2074 2074 2110 2253 2729 2730 2879 2937 3162 3162 3163 3417 3848 4025 4153 4277 4323 4353 4482 4512 4520 4521 4537 4700 4700 4710 4720 4728 4968 5037 5052 5071 5445 5621 5621 5663 5693 5742 5743 6188 6414 6898 7001 7001 7001 7173 7349 7486 7486 7507 7837 8288 8455 8614 8876 9124 9588 9588 9943 9962 10110 10218 10494 10549 10636 10935 11019 11030 11168 11284 23411 25824 25828 26034 50484 50506 51435 51734 53905 54363 55074 55967 55967 57679 58515 65018 79661 83636 93100 114757 120892 137902 139189 140809 257202
GO:1903755,positive regulation of SUMO transferase activity,7329
GO:0097500,receptor localization to non-motile cilium,7275 7287 7288 7289 92482 200894 392509
GO:2000066,positive regulation of cortisol biosynthetic process,54361
GO:0042664,negative regulation of endodermal cell fate specification,55897
GO:0110061,regulation of angiotensin-activated signaling pathway,6093 9475
GO:0018106,peptidyl-histidine phosphorylation,4831
GO:0018107,peptidyl-threonine phosphorylation,90 91 156 207 596 790 817 983 1020 1111 1195 1452 1453 1454 1455 1456 1457 1460 1859 2011 2475 2931 2932 4294 5170 5566 5578 5580 5587 5587 5594 5599 5599 5604 6872 7046 7048 7272 7443 7444 7786 8317 8408 8558 8658 8851 9475 9475 9943 9943 10114 22853 25865 27347 27347 28996 29110 51231 51701 53944 65125 84630 84630 85366 120892 120892 122011 146057 388228
GO:0018105,peptidyl-serine phosphorylation,156 207 207 207 208 472 545 596 814 815 817 983 1017 1020 1020 1147 1195 1432 1452 1452 1452 1453 1453 1454 1454 1455 1455 1456 1456 1457 1459 1609 1760 1859 1859 2011 2011 2056 2475 2621 2872 2932 3551 3551 3611 4139 4140 4294 5062 5155 5165 5170 5310 5347 5566 5566 5566 5578 5578 5579 5580 5580 5581 5581 5582 5583 5584 5584 5585 5586 5587 5587 5588 5590 5590 5591 5594 5595 5598 5599 5601 5603 5613 6093 6197 6198 6300 6300 6446 6714 6789 6850 6872 6997 7046 7048 7150 7272 7443 7444 7786 7867 7867 8317 8408 8550 8569 8569 8658 8851 9024 9113 9175 9201 9261 9261 9451 9475 9475 9641 10000 10110 10114 10769 10783 11011 11184 11200 11329 22853 22983 23012 23031 23049 23049 23139 23515 23617 23678 25865 25865 26524 27347 27347 28996 29110 29110 29941 51231 51719 53944 53944 55351 63967 65018 65018 65018 65125 83942 83983 84630 84630 84930 85443 120892 122011 127933 127933 127933 146057 146057 147746 166614 202374 253260 282974 375449 388228 100533105
GO:0042666,negative regulation of ectodermal cell fate specification,8324
GO:0018101,protein citrullination,11240 23569 23569 29943 51702
GO:0018108,peptidyl-tyrosine phosphorylation,25 25 25 27 238 558 640 695 1195 1196 1198 1436 1445 1859 1859 1950 1956 1969 2041 2042 2043 2044 2045 2046 2047 2048 2049 2050 2051 2064 2065 2066 2185 2202 2241 2242 2260 2261 2263 2264 2268 2321 2322 2324 2534 2534 2534 3055 3595 3643 3645 3716 3717 3718 3791 3815 3932 4058 4067 4145 4233 4486 4593 4750 4914 4915 4916 4919 4920 4921 5155 5156 5159 5580 5604 5605 5606 5607 5608 5609 5610 5649 5747 5756 5777 5979 6259 6416 6714 6714 6714 6725 6850 7006 7010 7016 7075 7272 7273 7297 7301 7465 7535 7535 8444 8445 8576 8767 8798 9031 9149 9833 10006 10152 10420 10461 10645 22853 25778 51225 55359 57396 57410 79834 84630 84630 91461 284656 285220 494551
GO:2000063,positive regulation of ureter smooth muscle cell differentiation,6469
GO:1905077,negative regulation of interleukin-17 secretion,384 406982
GO:1905075,positive regulation of tight junction disassembly,6833 7043 7046
GO:1905072,cardiac jelly development,652
GO:0043984,histone H4-K16 acetylation,3054 4297 8473 9767 10445 10943 10943 11091 11143 23338 51147 51230 51230 54934 54934 55167 55167 55683 55683 64769 79960 84148 84148 151050 151507 284058 339287 339287
GO:0045445,myoblast differentiation,182 1655 1841 2251 3156 3479 3956 4154 4656 5925 6300 6469 7881 9794 10521 25988 389072
GO:0045444,fat cell differentiation,208 583 585 595 1050 1052 1386 1959 2033 2308 2662 2867 2869 2876 3164 3400 3589 3625 4091 4929 5469 5696 6041 6720 6934 7021 8013 8091 8195 8291 8554 8651 9314 22809 22954 23236 25776 25836 25999 26268 26580 27241 30812 30837 51052 51150 51341 51752 55022 55212 55908 56729 59343 59344 64318 79689 81029 83862 83862 84100 84159 84230 84498 114882 114885 114899 144404 144404 221395 284207 338557 392255
GO:0045446,endothelial cell differentiation,182 1901 3215 3791 3911 5764 8721 23135 55897 80274 646817
GO:1905078,positive regulation of interleukin-17 secretion,5008 6346
GO:0070060,'de novo' actin filament nucleation,133746 133746
GO:0045414,regulation of interleukin-8 biosynthetic process,112744
GO:1904535,positive regulation of telomeric loop disassembly,51750
GO:0080184,response to phenylpropanoid,847
GO:0080182,histone H3-K4 trimethylation,3006 3007 3008 4297 5926 8473 9646 9757 23168 54790 57673 63925 63925 80335 80349 200424
GO:0032712,negative regulation of interleukin-3 production,84868
GO:2000334,positive regulation of blood microparticle formation,948 7124
GO:2000627,positive regulation of miRNA catabolic process,80149 87178
GO:2000620,positive regulation of histone H4-K16 acetylation,672 26053 26053
GO:0021508,floor plate formation,2736
GO:0090024,negative regulation of neutrophil chemotaxis,9353 27202 407008
GO:0021502,neural fold elevation formation,653 655 3091
GO:0021503,neural fold bending,7798
GO:0021501,prechordal plate formation,23648
GO:0051272,positive regulation of cellular component movement,81 81 604 2113 3925 4067 6223 6868 7046 7422 10630
GO:0051271,negative regulation of cellular component movement,81 87 928 1027 5314 6672 7049
GO:0051270,regulation of cellular component movement,116985
GO:0051276,chromosome organization,2669 3704 3981 4609 6018 6018 9232 10744 26255 29781 53918 55143 80152 91603 387103
GO:0051279,regulation of release of sequestered calcium ion into cytosol,287 1535 1729 2185 4067 5581 5777 9474 10345 11151 54923 84959
GO:0030003,cellular cation homeostasis,23400 83959
GO:0010753,positive regulation of cGMP-mediated signaling,136 2978 4878 4880 4881 4882 10900 115004
GO:0010752,regulation of cGMP-mediated signaling,2185
GO:0010751,negative regulation of nitric oxide mediated signal transduction,493 6690 7057
GO:0010750,positive regulation of nitric oxide mediated signal transduction,1956 2977 2982 3630 3630 9722
GO:0010757,negative regulation of plasminogen activation,1361 1522 5054 5054 5270 5345 7057
GO:0010756,positive regulation of plasminogen activation,2023 2161 3249 4241 7123 55848
GO:0010755,regulation of plasminogen activation,302 304
GO:0010754,negative regulation of cGMP-mediated signaling,4544 5138 7057 10846 50940 79849
GO:0010759,positive regulation of macrophage chemotaxis,719 728 1240 1240 1432 1435 2660 3735 5595 5919 6352 7057 59341 79647 284340
GO:0010758,regulation of macrophage chemotaxis,2185 4485 11223 57509
GO:0002458,peripheral T cell tolerance induction,326 326
GO:0002457,T cell antigen processing and presentation,3383 11277 23180
GO:0002456,T cell mediated immunity,182 925 2794 4179 10384 11118 50943 64005 619207
GO:0002455,humoral immune response mediated by circulating immunoglobulin,602 975 3119 7784 9156
GO:0002902,regulation of B cell apoptotic process,695 4067 5728
GO:0002904,positive regulation of B cell apoptotic process,581 3586 96459
GO:0002451,peripheral B cell tolerance induction,3135
GO:0002906,negative regulation of mature B cell apoptotic process,100 972 4282 8915
GO:0007368,determination of left/right symmetry,90 92 93 162 579 1767 2255 2294 2302 2622 4851 5046 5125 5308 5311 5681 6491 6899 6997 6998 7547 8195 8701 9371 9742 10370 10637 23322 23500 25911 25914 27019 27031 28514 29880 51626 54903 55130 55212 55997 55997 57545 63917 64446 80114 80173 84100 84976 92749 115948 118856 118856 134701 138162 161582 161582 220136 221322 284086 653275
GO:0007369,gastrulation,187 1738 2131 2253 4087 7048 7290 7479 8013 8452 8862 9350 10139 10399 25949 55578 55897 55997 56983 83881 145258 653275
GO:0003181,atrioventricular valve morphogenesis,90 650 659 3491 4193 4851 6586 6910 7042 7048 26508 161882
GO:0001909,leukocyte mediated cytotoxicity,6813
GO:1901799,negative regulation of proteasomal protein catabolic process,210 3326 3326 3327 4983 5582 6341 9491 10869 11345 27074 64844 80011 391634 664618
GO:0071333,cellular response to glucose stimulus,114 846 1215 1361 1535 1581 2021 2030 2081 2309 2621 2626 2692 2729 2730 2852 2901 3383 3480 3745 3767 3956 4221 4760 4830 4831 4976 4986 5076 5105 5105 5106 5165 5176 5290 5428 5530 5562 5563 5566 5906 6434 6659 6722 6770 7054 7351 7494 7776 8660 10399 10497 10804 10891 25942 26137 26291 50507 51024 56652 57539 65985 79727 406890 406948 406950 406951
GO:1901797,negative regulation of signal transduction by p53 class mediator,4193 29997 80196 117584
GO:1901796,regulation of signal transduction by p53 class mediator,207 472 545 580 641 672 1017 1020 1107 1108 1111 1263 1432 1457 1459 1460 1763 2033 3065 3066 3364 4193 4194 4361 4683 4839 5300 5371 5457 5458 5562 5563 5564 5565 5571 5600 5810 5883 5884 5928 5931 5932 5982 5983 5984 5985 6117 6118 6119 6125 6135 6749 6790 6794 6872 6873 6874 6875 6877 6878 6879 6880 6881 6882 6883 6884 6908 7156 7157 7159 7161 7486 7862 7994 8148 8445 8550 8626 8805 8851 9156 9212 9219 9891 10111 10419 10524 10848 10919 11073 11198 11200 22974 23212 23246 23368 25946 26013 26155 28996 29117 29997 51230 51422 51616 53615 53632 54971 55003 55170 56950 64769 79813 80010 83695 83860 83990 84126 84154 84289 91875 94241 112858 116028 133383 133746 138474 144715 147746 204851 387893
GO:0001906,cell killing,735
GO:0071338,positive regulation of hair follicle cell proliferation,2255
GO:0051660,establishment of centrosome localization,1739 5048 7430 29109 51134 56288 117583
GO:0051661,maintenance of centrosome location,5048 10142 10142 29899 51490 55171 259266
GO:0002355,detection of tumor cell,56253
GO:0051665,membrane raft localization,5898
GO:0051666,actin cortical patch localization,7454 7456 8976 55909 84948 147179 644150
GO:0051668,localization within membrane,1012 5879 51304 254263
GO:2000209,regulation of anoikis,81573
GO:1900169,regulation of glucocorticoid mediated signaling pathway,11214
GO:0110077,vesicle-mediated intercellular transport,23237
GO:0110076,negative regulation of ferroptosis,2879
GO:1990451,cellular stress response to acidic pH,27035
GO:0030449,regulation of complement activation,629 708 708 710 712 713 714 715 716 717 718 719 720 721 722 725 727 728 729 730 731 732 733 735 930 966 975 1191 1361 1369 1370 1378 1380 1604 2147 3075 3078 3080 3426 3500 3501 3502 3503 3514 3537 3538 3539 3542 4179 5199 5627 7448 10877 11331 27202 28299 28392 28394 28395 28420 28424 28434 28439 28442 28449 28450 28451 28452 28454 28457 28461 28776 28778 28791 28793 28796 28797 28809 28813 28815 28816 28817 28820 28822 28823 28825 28834 28874 28876 28881 28883 28893 28896 28903 28907 28908 28912 28913 28916 28919 28920 28921 28930 28937 28938 28940 55061 81494 388077
GO:1904526,regulation of microtubule binding,2011 2622 5515
GO:1990108,protein linear deubiquitination,1540 9825 90268 90268
GO:1904528,positive regulation of microtubule binding,25 3297 5515 5516
GO:0035162,embryonic hemopoiesis,2323 2623 2625 3091 3562 3791 3815 4254 4297 5087 5469 6886 7048 7173 10019 161882
GO:0060939,epicardium-derived cardiac fibroblast cell development,7049
